iter	Logloss
0	0.6720802301
1	0.6486770369
2	0.6311629695
3	0.610589384
4	0.5892707241
5	0.5735899876
6	0.5554605919
7	0.5399490633
8	0.5240206218
9	0.510146404
10	0.4983446665
11	0.4845008169
12	0.4733095623
13	0.4617030606
14	0.4513808843
15	0.4409730679
16	0.4296279128
17	0.4200030592
18	0.4109131022
19	0.4017623255
20	0.3907646632
21	0.3819895443
22	0.3725969516
23	0.3633955297
24	0.3561738805
25	0.350954897
26	0.3426423871
27	0.3367067881
28	0.329663645
29	0.3218722927
30	0.3166212905
31	0.3107256305
32	0.304562585
33	0.2968560703
34	0.2923929751
35	0.2880420819
36	0.2839496309
37	0.2791842849
38	0.2754188377
39	0.2717986602
40	0.2684791721
41	0.2649172465
42	0.2610887007
43	0.2568540973
44	0.2523642784
45	0.2484794536
46	0.2448360806
47	0.241146717
48	0.2371879948
49	0.2337839277
50	0.2305888204
51	0.2285652481
52	0.2262805371
53	0.2228949838
54	0.2208513381
55	0.2183754871
56	0.2162911302
57	0.2142540223
58	0.2109637909
59	0.2087317582
60	0.2063704214
61	0.2042060868
62	0.201923814
63	0.1986638377
64	0.1967466223
65	0.1950263297
66	0.1932092434
67	0.1909632561
68	0.1891613122
69	0.1875499587
70	0.1852955502
71	0.1831260052
72	0.1811154521
73	0.1793069606
74	0.1779482694
75	0.1762057073
76	0.1743277131
77	0.1726325412
78	0.1703723878
79	0.1687825711
80	0.1671751659
81	0.165855499
82	0.1641480128
83	0.1625745954
84	0.1607252149
85	0.1592526975
86	0.1582616649
87	0.156708069
88	0.1551013465
89	0.153701919
90	0.1518887893
91	0.1510293812
92	0.1501030235
93	0.1486223362
94	0.1476845999
95	0.1466508902
96	0.1454738814
97	0.1444429522
98	0.1436287516
99	0.1424289439
100	0.1416880551
101	0.1407656471
102	0.1396730468
103	0.138787606
104	0.1379941372
105	0.1373055765
106	0.1365279626
107	0.1357696618
108	0.1347595357
109	0.1339251477
110	0.1331809238
111	0.1320370607
112	0.1308618549
113	0.1304004958
114	0.1292736913
115	0.1285835467
116	0.1277831517
117	0.1269893513
118	0.1260820283
119	0.1253867478
120	0.1247138896
121	0.1242298713
122	0.1237055947
123	0.1229060826
124	0.122260631
125	0.1215606227
126	0.1210291345
127	0.1204504193
128	0.1198956765
129	0.1189377958
130	0.1183404905
131	0.1176429467
132	0.1167319123
133	0.1161028453
134	0.1153068757
135	0.1147598011
136	0.1138936291
137	0.1129900112
138	0.1123430986
139	0.1116031961
140	0.1111495474
141	0.1105287668
142	0.1098396847
143	0.1091903693
144	0.1085145585
145	0.1082028825
146	0.1077060117
147	0.1072508358
148	0.1067618077
149	0.1060355306
150	0.1056563825
151	0.1052117485
152	0.1046781113
153	0.1038857411
154	0.1035885379
155	0.1029234927
156	0.1023656194
157	0.1018366626
158	0.1011538616
159	0.1006697929
160	0.1000831625
161	0.09949919836
162	0.09909152286
163	0.09867398298
164	0.09823345141
165	0.09772615298
166	0.09724610898
167	0.09670138485
168	0.09613754276
169	0.09565561376
170	0.09540616827
171	0.09477712045
172	0.09439593212
173	0.09396695099
174	0.09343101998
175	0.09304021444
176	0.092485244
177	0.0918522345
178	0.09162837012
179	0.09115619917
180	0.09081277935
181	0.09056165016
182	0.09015028691
183	0.08978886901
184	0.08927331936
185	0.08900624379
186	0.08877497927
187	0.08832440162
188	0.08793318054
189	0.08774511054
190	0.08729378967
191	0.08675555046
192	0.08633040503
193	0.08596128171
194	0.08559233635
195	0.08526652974
196	0.08500550427
197	0.08472751476
198	0.08447902091
199	0.08405957457
200	0.08386375434
201	0.0835078444
202	0.08266238152
203	0.08231423611
204	0.08203170414
205	0.08176309555
206	0.08128919418
207	0.08090172919
208	0.08073647218
209	0.08049947662
210	0.0801718331
211	0.07984609256
212	0.07937605674
213	0.07897828271
214	0.07870204253
215	0.07852996657
216	0.07830073178
